date,customerId,customerId,paymentPeriod,loanAmount,currencyType,evaluationChannel,interest_rate
2022-09-10,812328643,CUS81232864336,36,15000,USD,WEB PAGE,0.295
2022-09-10,258349138,CUS25834913836,36,15000,USD,WEB PAGE,0.285
2022-09-10,509426113,CUS50942611360,60,31000,USD,WEB PAGE,0.4
2022-09-10,546923081,CUS54692308136,36,36000,USD,WEB PAGE,0.169
2022-09-10,695252482,CUS69525248260,60,135000,USD,WEB PAGE,0.135
2022-09-10,957124459,CUS95712445936,36,17000,USD,WEB PAGE,0.3
2022-09-10,521438203,CUS52143820360,60,66500,USD,WEB PAGE,0.39
2022-09-10,604258236,CUS60425823660,60,88100,USD,WEB PAGE,0.25
2022-09-10,641442782,CUS64144278224,24,13100,USD,WEB PAGE,0.275
2022-09-10,795935472,CUS79593547236,36,14503.5,USD,AGENCY,0.25
2022-09-10,600142169,CUS60014216960,60,4500,USD,WEB PAGE,0.205
2022-09-10,324815599,CUS32481559924,24,50000,USD,AGENCY,0.209
2022-09-10,775904444,CUS77590444460,60,65000,USD,WEB PAGE,0.385
2022-09-10,300837162,CUS30083716212,12,2000,USD,WEB PAGE,0.25
2022-09-10,447927632,CUS44792763248,48,31000,USD,WEB PAGE,0.39
2022-09-10,926905356,CUS92690535648,48,27000,USD,WEB PAGE,0.169
2022-09-10,792080396,CUS79208039636,36,13000,USD,WEB PAGE,0.29
2022-09-10,459237415,CUS45923741524,24,5000,USD,WEB PAGE,0.225
2022-09-10,237002905,CUS23700290548,48,50000,USD,WEB PAGE,0.115
2022-09-10,677140554,CUS67714055460,60,20000,USD,WEB PAGE,0.39
2022-09-10,601301304,CUS60130130448,48,42700,USD,WEB PAGE,0.24
2022-09-10,664574984,CUS66457498436,36,29600,USD,AGENCY,0.22
2022-09-10,770918697,CUS77091869748,48,100000,USD,WEB PAGE,0.17
2022-09-10,736319519,CUS73631951948,48,10000,USD,WEB PAGE,0.205
2022-09-10,197295194,CUS19729519460,60,20000,USD,WEB PAGE,0.23
2022-09-10,615419941,CUS61541994124,24,11100,USD,WEB PAGE,0.169
2022-09-10,792192109,CUS79219210936,36,45000,USD,WEB PAGE,0.165
2022-09-10,488142352,CUS48814235248,48,44000,USD,WEB PAGE,0.4
2022-09-10,652319126,CUS65231912660,60,45100,USD,WEB PAGE,0.4
2022-09-10,638199714,CUS63819971424,24,30000,USD,AGENCY,0.4
2022-09-10,269364738,CUS26936473848,48,35400,USD,WEB PAGE,0.235
2022-09-10,749278265,CUS74927826536,36,46000,USD,AGENCY,0.22
2022-09-10,344240043,CUS34424004348,48,9400,USD,WEB PAGE,0.245
2022-09-10,464656752,CUS46465675224,24,19200,USD,AGENCY,0.285
2022-09-10,817483664,CUS81748366436,36,16000,USD,WEB PAGE,0.255
2022-09-10,827144898,CUS82714489836,36,100000,USD,AGENCY,0.19
2022-09-10,853622219,CUS85362221912,12,4000,USD,WEB PAGE,0.39
2022-09-10,819847869,CUS81984786912,12,5000,USD,WEB PAGE,0.23
2022-09-10,342255526,CUS34225552648,48,25000,USD,WEB PAGE,0.215
2022-09-10,947514953,CUS94751495360,60,20000,USD,WEB PAGE,0.35
2022-09-10,812530038,CUS81253003836,36,32100,USD,WEB PAGE,0.145
2022-09-10,182838238,CUS18283823836,36,32100,USD,AGENCY,0.145
2022-09-10,852082473,CUS85208247348,48,32200,USD,WEB PAGE,0.159
2022-09-10,273896149,CUS27389614948,48,25000,USD,WEB PAGE,0.245
2022-09-10,567864978,CUS56786497836,36,54900,USD,WEB PAGE,0.225
2022-09-10,146706412,CUS14670641224,24,3000,USD,WEB PAGE,0.165
2022-09-10,616404359,CUS61640435936,36,10000,USD,WEB PAGE,0.305
2022-09-10,839965349,CUS83996534948,48,3000,USD,WEB PAGE,0.175
2022-09-10,128426907,CUS12842690736,36,46500,USD,WEB PAGE,0.189
2022-09-10,359753471,CUS35975347124,24,3000,USD,WEB PAGE,0.255
2022-09-10,257596962,CUS25759696224,24,1000,USD,WEB PAGE,0.235
2022-09-10,941594375,CUS94159437524,24,6000,USD,WEB PAGE,0.39
2022-09-10,124708818,CUS12470881848,48,81900,USD,WEB PAGE,0.135
2022-09-10,459902315,CUS45990231536,36,7626,USD,WEB PAGE,0.235
2022-09-10,846348419,CUS84634841924,24,10000,USD,WEB PAGE,0.199
2022-09-10,704493870,CUS70449387060,60,15000,USD,WEB PAGE,0.255
2022-09-10,363125901,CUS36312590112,12,10000,USD,WEB PAGE,0.16
2022-09-10,551380215,CUS55138021524,24,61500,USD,WEB PAGE,0.105
2022-09-10,576019970,CUS57601997036,36,57000,USD,WEB PAGE,0.105
2022-09-10,657153086,CUS65715308648,48,24700,USD,WEB PAGE,0.159
2022-09-10,217648447,CUS21764844736,36,40800,USD,WEB PAGE,0.155
2022-09-10,283079802,CUS28307980236,36,4000,USD,WEB PAGE,0.265
2022-09-10,924782315,CUS92478231548,48,2000,USD,WEB PAGE,0.235
2022-09-10,307412200,CUS30741220048,48,27000,USD,WEB PAGE,0.235
2022-09-10,273078245,CUS27307824548,48,7200,USD,WEB PAGE,0.245
2022-09-10,855401223,CUS85540122324,24,18000,USD,WEB PAGE,0.395
2022-09-10,716737591,CUS71673759136,36,52300,USD,WEB PAGE,0.185
2022-09-10,514925347,CUS51492534748,48,20000,USD,WEB PAGE,0.22
2022-09-10,893915374,CUS89391537436,36,15000,USD,WEB PAGE,0.2
2022-09-10,344143422,CUS34414342248,48,30710,USD,WEB PAGE,0.395
2022-09-10,853068676,CUS85306867636,36,30000,USD,WEB PAGE,0.245
2022-09-10,416200911,CUS41620091136,36,10000,USD,WEB PAGE,0.25
2022-09-10,764319954,CUS76431995424,24,5000,USD,WEB PAGE,0.33
2022-09-10,490432567,CUS49043256712,12,2000,USD,WEB PAGE,0.33
2022-09-10,724559116,CUS72455911636,36,10800,USD,AGENCY,0.245
2022-09-10,763236505,CUS76323650536,36,40000,USD,AGENCY,0.365
2022-09-10,889813830,CUS88981383060,60,51700,USD,WEB PAGE,0.105
2022-09-10,399324758,CUS39932475860,60,30900,USD,WEB PAGE,0.295
2022-09-10,710616002,CUS71061600236,36,20000,USD,WEB PAGE,0.275
2022-09-10,829022040,CUS82902204048,48,11500,USD,WEB PAGE,0.235
2022-09-10,237946272,CUS23794627236,36,46852,USD,WEB PAGE,0.245
2022-09-10,263871899,CUS26387189924,24,11000,USD,AGENCY,0.205
2022-09-10,214486006,CUS21448600660,60,32800,USD,WEB PAGE,0.175
2022-09-10,283590596,CUS28359059636,36,10000,USD,WEB PAGE,0.25
2022-09-10,248765350,CUS24876535024,24,65717.88,USD,WEB PAGE,0.39
2022-09-10,999696488,CUS99969648836,36,7000,USD,WEB PAGE,0.22
2022-09-10,240889249,CUS24088924924,24,30000,USD,AGENCY,0.235
2022-09-10,472353458,CUS47235345848,48,70000,USD,WEB PAGE,0.129
2022-09-10,917857062,CUS91785706260,60,9950,USD,WEB PAGE,0.205
2022-09-10,437610203,CUS43761020324,24,35088.69,USD,WEB PAGE,0.295
2022-09-10,342097595,CUS34209759536,36,130000,USD,WEB PAGE,0.115
2022-09-10,256864971,CUS25686497124,24,9976,USD,WEB PAGE,0.145
2022-09-10,829752908,CUS82975290836,36,23000,USD,WEB PAGE,0.145
2022-09-10,734051135,CUS73405113548,48,90000,USD,WEB PAGE,0.14
2022-09-10,359716603,CUS35971660324,24,70000,USD,AGENCY,0.295
2022-09-10,399189670,CUS39918967036,36,30000,USD,WEB PAGE,0.25
2022-09-10,922828384,CUS92282838424,24,25000,USD,WEB PAGE,0.195
2022-09-10,608729575,CUS60872957536,36,50000,USD,AGENCY,0.225
2022-09-10,687881767,CUS68788176736,36,11078.9,USD,WEB PAGE,0.269
2022-09-10,542573244,CUS54257324424,24,5500,USD,WEB PAGE,0.245
2022-09-10,846286059,CUS84628605936,36,4786,USD,WEB PAGE,0.33
2022-09-10,967739797,CUS96773979748,48,16300,USD,WEB PAGE,0.285
2022-09-10,292663960,CUS29266396048,48,20000,USD,WEB PAGE,0.205
2022-09-10,294384354,CUS29438435436,36,100000,USD,WEB PAGE,0.205
2022-09-10,279215735,CUS27921573560,60,85700,USD,AGENCY,0.155
2022-09-10,725877390,CUS72587739024,24,30000,USD,WEB PAGE,0.375
2022-09-10,323001486,CUS32300148636,36,45000,USD,WEB PAGE,0.149
2022-09-10,787241694,CUS78724169460,60,64000,USD,WEB PAGE,0.155
2022-09-10,308397774,CUS30839777436,36,55000,USD,AGENCY,0.145
2022-09-10,120675886,CUS12067588648,48,17994.5,USD,WEB PAGE,0.235
2022-09-10,308839616,CUS30883961648,48,64700,USD,WEB PAGE,0.235
2022-09-10,943945256,CUS94394525660,60,37400,USD,AGENCY,0.195
2022-09-10,221751715,CUS22175171548,48,40000,USD,AGENCY,0.19
2022-09-10,328832010,CUS32883201036,36,73000,USD,AGENCY,0.155
2022-09-10,657371020,CUS65737102048,48,5000,USD,WEB PAGE,0.215
2022-09-10,851739456,CUS85173945648,48,40000,USD,WEB PAGE,0.14
2022-09-10,878556946,CUS87855694648,48,10000,USD,WEB PAGE,0.235
2022-09-10,613770926,CUS61377092636,36,4000,USD,WEB PAGE,0.25
2022-09-10,237252408,CUS23725240860,60,41200,USD,WEB PAGE,0.205
2022-09-10,638100253,CUS63810025324,24,12000,USD,WEB PAGE,0.4
2022-09-10,750891857,CUS75089185736,36,6810,USD,WEB PAGE,0.105
2022-09-10,186963296,CUS18696329624,24,17975,USD,WEB PAGE,0.105
2022-09-10,480135127,CUS48013512748,48,140000,USD,AGENCY,0.169
2022-09-10,859485130,CUS85948513060,60,100000,USD,AGENCY,0.165
2022-09-10,511569185,CUS51156918536,36,5000,USD,WEB PAGE,0.335
2022-09-10,524848092,CUS52484809248,48,52114.8,USD,WEB PAGE,0.135
2022-09-10,656053109,CUS65605310948,48,80000,USD,AGENCY,0.205
2022-09-10,210342278,CUS21034227848,48,80000,USD,WEB PAGE,0.169
2022-09-10,972936723,CUS97293672348,48,6000,USD,WEB PAGE,0.205
2022-09-10,681771143,CUS68177114336,36,13050,USD,CONTACT CENTER,0.155
2022-09-10,574560907,CUS57456090748,48,30800,USD,AGENCY,0.29
2022-09-10,850779601,CUS85077960148,48,30800,USD,WEB PAGE,0.29
2022-09-10,993019381,CUS99301938124,24,70000,USD,WEB PAGE,0.11
2022-09-10,218736225,CUS21873622560,60,55000,USD,WEB PAGE,0.105
2022-09-10,779605649,CUS77960564960,60,30100,USD,WEB PAGE,0.139
2022-09-10,597871843,CUS59787184336,36,35994,USD,WEB PAGE,0.38
2022-09-10,573450713,CUS57345071360,60,15300,USD,WEB PAGE,0.169
2022-09-10,649697835,CUS64969783548,48,21200,USD,AGENCY,0.149
2022-09-10,395567910,CUS39556791048,48,36600,USD,AGENCY,0.195
2022-09-10,955194965,CUS95519496524,24,10000,USD,WEB PAGE,0.225
2022-09-10,755718295,CUS75571829548,48,25000,USD,WEB PAGE,0.205
2022-09-10,210570817,CUS21057081712,12,1000,USD,WEB PAGE,0.175
2022-09-10,309772595,CUS30977259524,24,52900,USD,WEB PAGE,0.375
2022-09-10,725644668,CUS72564466848,48,21000,USD,WEB PAGE,0.235
2022-09-10,161188751,CUS16118875136,36,10000,USD,WEB PAGE,0.24
2022-09-10,209382248,CUS20938224860,60,47453,USD,WEB PAGE,0.129
2022-09-10,506929851,CUS50692985124,24,10000,USD,WEB PAGE,0.135
2022-09-10,314996007,CUS31499600748,48,45100,USD,WEB PAGE,0.145
2022-09-10,898963237,CUS89896323760,60,95900,USD,WEB PAGE,0.215
2022-09-10,944277157,CUS94427715760,60,20000,USD,AGENCY,0.19
2022-09-10,125485030,CUS12548503024,24,42306,USD,AGENCY,0.24
2022-09-10,259402358,CUS25940235860,60,57300,USD,WEB PAGE,0.165
2022-09-10,890076032,CUS89007603260,60,16000,USD,WEB PAGE,0.135
2022-09-10,882221380,CUS88222138060,60,95900,USD,AGENCY,0.125
2022-09-10,901659734,CUS90165973448,48,2300,USD,WEB PAGE,0.265
2022-09-10,491322129,CUS49132212924,24,10600,USD,WEB PAGE,0.375
2022-09-10,510133794,CUS51013379448,48,11000,USD,AGENCY,0.189
2022-09-10,314608436,CUS31460843636,36,37725,USD,AGENCY,0.105
2022-09-10,220664620,CUS22066462036,36,10000,USD,WEB PAGE,0.145
2022-09-10,508368902,CUS50836890224,24,50000,USD,WEB PAGE,0.37
2022-09-10,495482867,CUS49548286724,24,6600,USD,AGENCY,0.395
2022-09-10,547230659,CUS54723065924,24,6600,USD,AGENCY,0.395
2022-09-10,749272792,CUS74927279248,48,104000,USD,WEB PAGE,0.105
2022-09-10,231197076,CUS23119707612,12,4150.9,USD,AGENCY,0.395
2022-09-10,794357883,CUS79435788348,48,4700,USD,AGENCY,0.179
2022-09-10,530585191,CUS53058519136,36,29900,USD,AGENCY,0.24
2022-09-10,218964089,CUS21896408948,48,10000,USD,WEB PAGE,0.155
2022-09-10,333135056,CUS33313505612,12,3600,USD,WEB PAGE,0.14
2022-09-10,923999767,CUS92399976736,36,100000,USD,AGENCY,0.33
2022-09-10,872771444,CUS87277144424,24,20500,USD,WEB PAGE,0.38
2022-09-10,494561060,CUS49456106048,48,140000,USD,WEB PAGE,0.105
2022-09-10,484684922,CUS48468492260,60,35000,USD,WEB PAGE,0.149
2022-09-10,333300171,CUS33330017136,36,5000,USD,WEB PAGE,0.215
2022-09-10,457398051,CUS45739805160,60,5000,USD,WEB PAGE,0.195
2022-09-10,747559242,CUS74755924260,60,14153,USD,WEB PAGE,0.195
2022-09-10,611277343,CUS61127734360,60,9000,USD,WEB PAGE,0.175
2022-09-10,995174317,CUS99517431760,60,27400,USD,WEB PAGE,0.135
2022-09-10,631749066,CUS63174906660,60,95300,USD,WEB PAGE,0.22
2022-09-10,129783796,CUS12978379648,48,50370,USD,WEB PAGE,0.23
2022-09-10,483867972,CUS48386797236,36,10000,USD,AGENCY,0.209
2022-09-10,222823519,CUS22282351960,60,19600,USD,WEB PAGE,0.145
2022-09-10,858508313,CUS85850831324,24,3650,USD,WEB PAGE,0.225
2022-09-10,721461279,CUS72146127924,24,3000,USD,WEB PAGE,0.22
2022-09-10,536107837,CUS53610783760,60,30000,USD,WEB PAGE,0.235
2022-09-10,985764110,CUS98576411048,48,7000,USD,WEB PAGE,0.4
2022-09-10,466975305,CUS46697530548,48,40000,USD,AGENCY,0.149
2022-09-10,170672340,CUS17067234048,48,40000,USD,AGENCY,0.149
2022-09-10,480780768,CUS48078076848,48,10000,USD,WEB PAGE,0.169
2022-09-10,984151478,CUS98415147860,60,7807,USD,WEB PAGE,0.235
2022-09-10,773080220,CUS77308022036,36,17000,USD,MAIL OFFER,0.129
2022-09-10,308687416,CUS30868741636,36,15000,USD,WEB PAGE,0.245
2022-09-10,861193680,CUS86119368036,36,5000,USD,WEB PAGE,0.4
2022-09-10,826943833,CUS82694383336,36,30000,USD,WEB PAGE,0.24
2022-09-10,720779415,CUS72077941560,60,67200,USD,WEB PAGE,0.23
2022-09-10,538108709,CUS53810870936,36,34135,USD,WEB PAGE,0.105
2022-09-10,535299459,CUS53529945924,24,41000,USD,WEB PAGE,0.149
2022-09-10,359247849,CUS35924784912,12,5560,USD,AGENCY,0.21
2022-09-10,978025160,CUS97802516060,60,54787,USD,WEB PAGE,0.105
2022-09-10,690080218,CUS69008021824,24,12130,USD,WEB PAGE,0.395
2022-09-10,582855968,CUS58285596812,12,4000,USD,WEB PAGE,0.245
2022-09-10,270486512,CUS27048651236,36,19000,USD,WEB PAGE,0.155
2022-09-10,706898675,CUS70689867536,36,3200,USD,WEB PAGE,0.155
2022-09-10,953454355,CUS95345435560,60,30000,USD,WEB PAGE,0.175
2022-09-10,493690524,CUS49369052424,24,13000,USD,WEB PAGE,0.19
2022-09-10,682127443,CUS68212744336,36,52400,USD,AGENCY,0.169
2022-09-10,606444231,CUS60644423112,12,10000,USD,AGENCY,0.195
2022-09-10,992990912,CUS99299091248,48,15000,USD,WEB PAGE,0.169
2022-09-10,996216620,CUS99621662060,60,30000,USD,WEB PAGE,0.135
2022-09-10,928903969,CUS92890396936,36,100000,USD,WEB PAGE,0.365
2022-09-10,945354167,CUS94535416748,48,6500,USD,WEB PAGE,0.36
2022-09-10,152943529,CUS15294352936,36,16499,USD,WEB PAGE,0.235
2022-09-10,646956603,CUS64695660336,36,7475,USD,WEB PAGE,0.149
2022-09-10,386975677,CUS38697567748,48,72000,USD,AGENCY,0.159
2022-09-10,567650719,CUS56765071924,24,10000,USD,WEB PAGE,0.105
2022-09-10,794655377,CUS79465537736,36,24000,USD,WEB PAGE,0.205
2022-09-10,408768382,CUS40876838260,60,31617,USD,WEB PAGE,0.139
2022-09-10,656376515,CUS65637651560,60,82800,USD,WEB PAGE,0.149
2022-09-10,392111789,CUS39211178960,60,36000,USD,WEB PAGE,0.185
2022-09-10,393458157,CUS39345815736,36,6000,USD,WEB PAGE,0.275
2022-09-10,327539615,CUS32753961524,24,17611.11,USD,AGENCY,0.395
2022-09-10,693283839,CUS69328383924,24,92700,USD,AGENCY,0.265
2022-09-10,345466634,CUS34546663448,48,50000,USD,WEB PAGE,0.185
2022-09-10,903259421,CUS90325942124,24,10000,USD,WEB PAGE,0.109
2022-09-10,272358785,CUS27235878524,24,16000,USD,WEB PAGE,0.245
2022-09-10,869269370,CUS86926937048,48,48500,USD,AGENCY,0.215
2022-09-10,548453234,CUS54845323460,60,95400,USD,WEB PAGE,0.105
2022-09-10,399686243,CUS39968624312,12,5000,USD,WEB PAGE,0.15
2022-09-10,745786122,CUS74578612260,60,69700,USD,WEB PAGE,0.135
2022-09-10,568146767,CUS56814676724,24,11000,USD,WEB PAGE,0.4
2022-09-10,906261448,CUS90626144836,36,10300,USD,WEB PAGE,0.235
2022-09-10,634445237,CUS63444523724,24,53200,USD,WEB PAGE,0.395
2022-09-10,370656434,CUS37065643460,60,69800,USD,WEB PAGE,0.14
2022-09-10,484956789,CUS48495678924,24,20000,USD,WEB PAGE,0.159
2022-09-10,181486655,CUS18148665548,48,28100,USD,WEB PAGE,0.22
2022-09-10,766374058,CUS76637405848,48,3600,USD,WEB PAGE,0.195
2022-09-10,201312162,CUS20131216224,24,6000,USD,WEB PAGE,0.205
2022-09-10,529867213,CUS52986721348,48,10000,USD,WEB PAGE,0.23
2022-09-10,332168991,CUS33216899160,60,28000,USD,WEB PAGE,0.17
2022-09-10,608685745,CUS60868574524,24,23583.52,USD,WEB PAGE,0.39
2022-09-10,960287526,CUS96028752636,36,50000,USD,WEB PAGE,0.35
2022-09-10,512025867,CUS51202586748,48,54300,USD,AGENCY,0.145
2022-09-10,469351255,CUS46935125548,48,10000,USD,WEB PAGE,0.149
2022-09-10,965395641,CUS96539564160,60,51900,USD,WEB PAGE,0.129
2022-09-10,496355791,CUS49635579136,36,10000,USD,WEB PAGE,0.135
2022-09-10,271539069,CUS27153906948,48,34700,USD,AGENCY,0.135
2022-09-10,891307419,CUS89130741936,36,16000,USD,AGENCY,0.24
2022-09-10,619479009,CUS61947900924,24,11670,USD,WEB PAGE,0.22
2022-09-10,945366437,CUS94536643748,48,30000,USD,WEB PAGE,0.135
2022-09-10,739429649,CUS73942964960,60,40000,USD,WEB PAGE,0.155
2022-09-10,851467956,CUS85146795636,36,23000,USD,WEB PAGE,0.17
2022-09-10,374949117,CUS37494911748,48,6352,USD,WEB PAGE,0.105
2022-09-10,993449216,CUS99344921612,12,5000,USD,AGENCY,0.335
2022-09-10,314603750,CUS31460375024,24,3000,USD,WEB PAGE,0.22
2022-09-10,353620016,CUS35362001660,60,48700,USD,WEB PAGE,0.135
2022-09-10,645534978,CUS64553497824,24,12000,USD,WEB PAGE,0.165
2022-09-10,423904441,CUS42390444136,36,5000,USD,WEB PAGE,0.265
2022-09-10,596065261,CUS59606526124,24,24800,USD,AGENCY,0.385
2022-09-10,862092021,CUS86209202148,48,46400,USD,AGENCY,0.179
2022-09-10,529169043,CUS52916904348,48,53000,USD,WEB PAGE,0.225
2022-09-10,994346660,CUS99434666060,60,73200,USD,WEB PAGE,0.135
2022-09-10,178189733,CUS17818973360,60,73200,USD,WEB PAGE,0.135
2022-09-10,850083213,CUS85008321324,24,13000,USD,WEB PAGE,0.235
2022-09-10,428973013,CUS42897301360,60,3500,USD,WEB PAGE,0.2
2022-09-10,359213892,CUS35921389236,36,23715,USD,WEB PAGE,0.245
2022-09-10,452900811,CUS45290081136,36,90000,USD,AGENCY,0.155
2022-09-10,296827519,CUS29682751960,60,17062.33,USD,AGENCY,0.155
2022-09-10,467651654,CUS46765165424,24,6500,USD,WEB PAGE,0.255
2022-09-10,770683560,CUS77068356036,36,3671,USD,WEB PAGE,0.315
2022-09-10,659583124,CUS65958312424,24,5000,USD,WEB PAGE,0.245
2022-09-10,753359208,CUS75335920812,12,10000,USD,WEB PAGE,0.135
2022-09-10,314922550,CUS31492255012,12,13000,USD,WEB PAGE,0.135
2022-09-10,983126802,CUS98312680224,24,3000,USD,WEB PAGE,0.135
2022-09-10,688353561,CUS68835356160,60,20000,USD,WEB PAGE,0.155
2022-09-10,978999129,CUS97899912924,24,30000,USD,WEB PAGE,0.38
2022-09-10,306597781,CUS30659778136,36,15000,USD,WEB PAGE,0.37
2022-09-10,561261643,CUS56126164336,36,21000,USD,WEB PAGE,0.235
2022-09-10,152484508,CUS15248450836,36,7500,USD,WEB PAGE,0.155
2022-09-10,616231010,CUS61623101024,24,16600,USD,AGENCY,0.235
2022-09-10,485927644,CUS48592764448,48,62000,USD,AGENCY,0.159
2022-09-10,756120997,CUS75612099748,48,11000,USD,WEB PAGE,0.154
2022-09-10,537301371,CUS53730137160,60,62000,USD,WEB PAGE,0.159
2022-09-10,771353436,CUS77135343660,60,7500,USD,AGENCY,0.105
2022-09-10,149669474,CUS14966947460,60,33000,USD,WEB PAGE,0.155
2022-09-10,526495960,CUS52649596036,36,15000,USD,AGENCY,0.33
2022-09-10,909535163,CUS90953516348,48,10000,USD,WEB PAGE,0.33
2022-09-10,305539819,CUS30553981924,24,19800,USD,AGENCY,0.275
2022-09-10,931965661,CUS93196566124,24,3100,USD,AGENCY,0.27
2022-09-10,632920742,CUS63292074224,24,3100,USD,WEB PAGE,0.27
2022-09-10,336126833,CUS33612683324,24,8300,USD,WEB PAGE,0.15
2022-09-10,653920065,CUS65392006560,60,114600,USD,WEB PAGE,0.159
2022-09-10,413414769,CUS41341476948,48,40000,USD,WEB PAGE,0.119
2022-09-10,724232832,CUS72423283260,60,61100,USD,WEB PAGE,0.179
2022-09-10,144653342,CUS14465334260,60,10700,USD,WEB PAGE,0.165
2022-09-10,763274463,CUS76327446360,60,18000,USD,WEB PAGE,0.175
2022-09-10,191304442,CUS19130444260,60,52727,USD,WEB PAGE,0.165
2022-09-10,734775553,CUS73477555360,60,48200,USD,WEB PAGE,0.145
2022-09-10,347220440,CUS34722044024,24,104000,USD,AGENCY,0.175
2022-09-10,899575359,CUS89957535924,24,140000,USD,WEB PAGE,0.24
2022-09-10,114312795,CUS11431279548,48,30000,USD,WEB PAGE,0.23
2022-09-10,759188228,CUS75918822848,48,50000,USD,AGENCY,0.165
2022-09-10,631809640,CUS63180964060,60,50000,USD,WEB PAGE,0.159
2022-09-10,209941688,CUS20994168860,60,70000,USD,WEB PAGE,0.129
2022-09-10,341414451,CUS34141445160,60,60000,USD,WEB PAGE,0.135
2022-09-10,123696177,CUS12369617736,36,28500,USD,WEB PAGE,0.19
2022-09-10,342560766,CUS34256076612,12,1000,USD,WEB PAGE,0.32
2022-09-10,975618781,CUS97561878136,36,6093,USD,WEB PAGE,0.255
2022-09-10,404675834,CUS40467583424,24,5030,USD,WEB PAGE,0.255
2022-09-10,483104505,CUS48310450548,48,30000,USD,WEB PAGE,0.155
2022-09-10,455581202,CUS45558120248,48,101700,USD,AGENCY,0.145
